zipcode,median_household_income,
98001,"72,540",
98002,"44,930",
98003,45563,
98005,85639,
98006,111216,
98007,75264,
98008,88862,
98010,71280,
98011,74975,
98014,97806,
98019,93004,
98022,65864,
98023,67881,
98024,99257,
98027,102760,
98028,88472,
98029,99519,
98030,52297,
98031,65321,
98032,47030,
98033,103995,
98034,81037,
98038,93573,
98039,182308,
98040,125651,
98042,88006,
98045,87470,
98052,103086,
98053,119637,
98055,63030,
98056,72420,
98058,81221,
98059,93486,
98065,123548,
98070,72568,
98072,107009,
98074,140799,
98075,149557,
98077,136833,
98092,71803,
98102,68109,
98103,76925,
98105,47474,
98106,53949,
98107,71597,
98108,52934,
98109,81134,
98112,100694,
98115,88633,
98116,73667,
98117,91199,
98118,53415,
98119,74661,
98122,55725,
98125,52353,
98126,67359,
98133,52663,
98136,85040,
98144,60143,
98146,56320,
98148,46737,
98155,72241,
98166,65374,
98168,50054,
98177,90758,
98178,59637,
98188,"40,656",
98198,"55,516",
98199,"83,611",
